User Defined Material	0	0	0	0
Hydrogen	0.992162	19.2	0.000083748	1
Helium	0.499675	41.8	0.000166322	2
Lithium	0.432214	40	0.534	3
Beryllium 	0.443844	63.7	1.848	4
Boron	0.462535	76	2.37	5
Carbon, Amorphous	0.499542	81	2	6
Carbon, Graphite	0.499542	78	1.7	6
Nitrogen	0.499761	82	0.00116528	7
Oxygen	0.500019	95	0.00133151	8
Fluorine	0.473724	115	0.00158029	9
Neon	0.495565	137	0.000838505	10
Sodium	0.478474	149	0.971	11
Magnesium	0.493726	156	1.74	12
Aluminum	0.481811	166	2.6989	13
Silicon	0.498478	173	2.33	14
Phosphorus	0.484281	173	2.2	15
Sulfur	0.499064	180	2	16
Chlorine	0.479508	174	0.00299473	17
Argon	0.450586	188	0.00166201	18
Potassium	0.485955	190	0.862	19
Calcium	0.499002	191	1.55	20
Scandium	0.467124	216	2.989	21
Titanium	0.459482	233	4.54	22
Vanadium	0.451498	245	6.11	23
Chromium	0.461574	257	7.18	24
Manganese	0.455058	272	7.44	25
Iron	0.465558	286	7.874	26
Cobalt	0.458146	297	8.9	27
Nickel	0.477083	311	8.902	28
Copper	0.456362	322	8.96	29
Zinc	0.458856	330	7.133	30
Gallium	0.444636	334	5.904	31
Germanium	0.440832	350	5.323	32
Arsenic	0.44046	347	5.73	33
Selenium	0.430598	348	4.5	34
Bromine	0.438026	343	0.00707218	35
Krypton	0.429594	352	0.00347832	36
Rubidium	0.432912	363	1.532	37
Strontium	0.433691	366	2.54	38
Yttrium	0.438666	379	4.469	39
Zirconium	0.4385	393	6.506	40
Niobium	0.441304	417	8.57	41
Molybdenum	0.437774	424	10.22	42
Technetium	0.439192	428	11.5	43
Ruthenium	0.435342	441	12.41	44
Rhodium	0.437294	449	12.41	45
Palladium	0.43225	470	12.02	46
Silver	0.435718	470	10.5	47
Cadmium	0.427008	469	8.65	48
Indium	0.426755	488	7.31	49
Tin	0.421265	488	7.31	50
Antimony	0.418891	487	6.691	51
Tellurium	0.407524	485	6.24	52
Iodine	0.417637	491	4.93	53
Xenon	0.411303	482	0.00548536	54
Cesium	0.413828	488	1.873	55
Barium	0.407777	491	3.5	56
Lanthanum	0.410351	501	6.154	57
Cerium	0.413931	523	6.657	58
Praseodymium	0.418714	535	6.71	59
Neodymium	0.415973	546	6.9	60
Promethium	0.420942	560	7.22	61
Samarium	0.412344	574	7.46	62
Europium	0.414583	580	5.243	63
Gadolinium	0.406995	591	7.9004	64
Terbium	0.408997	614	8.229	65
Dysprosium	0.406154	628	8.55	66
Holmium	0.406232	650	8.795	67
Erbium	0.406553	658	9.066	68
Thulium	0.408443	674	9.321	69
Ytterbium	0.404531	684	6.73	70
Lutetium	0.405791	694	9.84	71
Hafnium	0.403384	705	13.31	72
Tantalum	0.403431	718	16.654	73
Tungsten	0.402502	727	19.3	74
Rhenium	0.402778	736	21.02	75
Osmium	0.399579	746	22.57	76
Iridium	0.400583	757	22.42	77
Platinum	0.399836	790	21.45	78
Gold	0.401083	790	19.32	79
Mercury	0.398823	800	13.546	80
Thallium	0.396315	810	11.72	81
Lead	0.395753	823	11.35	82
Bismuth	0.397166	823	9.747	83
Polonium	0.401948	830	9.32	84
Astatine	0.404787	825	9.32	85
Radon	0.387356	794	0.00906618	86
Francium	0.3901	827	1	87
Radium	0.389337	826	5	88
Actinium	0.392022	841	10.07	89
Thorium	0.387867	847	11.72	90
Protactinium	0.393878	878	15.37	91
Uranium	0.386508	890	18.95	92
Neptunium	0.392325	902	20.25	93
Plutonium	0.39322	921	19.84	94
Americium	0.390848	934	13.67	95
Curium	0.388554	939	13.51	96
Berkelium	0.392601	952	14	97
Californium	0.390314	966	10	98
A-150 Tissue-Equivalent Plastic	0.549031	65.1	1.127	5.942618
Adipose Tissue (ICRP)	0.558468	63.2	0.92	5.905021
Air, Dry (Near Sea Level)	0.49919	85.7	0.00120479	7.372747
B-100 Bone-Equivalent Plastic	0.527397	85.9	1.45	8.7328
Blood (ICRP)	0.549952	75.2	1.06	7.132568
Bone, Compact (ICRU)	0.530103	91.9	1.85	9.368402
Bone, Cortical (ICRP)	0.521299	106.4	1.85	10.628862
Brain (ICRP)	0.554227	73.3	1.03	7.063811
Concrete, Portland	0.502736	135.2	2.3	11.098486
Eye Lens (ICRP)	0.548767	73.3	1.1	6.864427
Glass, Lead	0.421007	526.4	6.22	64.308171
Glass, Plate	0.497313	145.4	2.4	11.595093
Lead Oxide	0.403227	766.7	9.53	76.695532
Lung (ICRP)	0.549652	75.3	1.05	7.143064
MS20 Tissue Substitute	0.538856	75.1	1	6.776222
Muscle, Skeletal (ICRP)	0.549378	75.3	1.04	7.129601
Muscle, Striated (ICRU)	0.550051	74.7	1.04	7.095221
Muscle-Equivalent Liquid (With Sucrose)	0.548281	74.3	1.11	6.964475
Muscle-Equivalent Liquid (Without Sucrose)	0.550136	74.2	1.07	7.01065
Skin (ICRP)	0.549325	72.7	1.1	6.844024
Testes (ICRP)	0.551083	75	1.04	7.140848
Tissue, Soft (ICRP)	0.55121	72.3	1	6.846846
Tissue, Soft (ICRU Four-Component)	0.54975	74.9	1	7.043796
Tissue-Equivalent Gas (Methane Based)	0.549927	61.2	0.00106409	6.339387
Tissue-Equivalent Gas (Propane Based)	0.550268	59.5	0.00182628	6.108394
Water, Liquid	0.555087	75	1z	7.216742
Water, Vapor	0.555087	71.6	0.000756182	7.216742

